q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81946,1.23425,0.056114,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82851,-1.39899,0,0,0,-0.449544,0.1,-0.18342,-0.449544,0.1,-0.18342
0,-0.00295216,0,2.8194,1.26191,-0.174975,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82851,-1.39899,0,0.000987048,-0.00295216,-0.449544,0.1,-0.18342,-0.449544,0.1,-0.18342
-1E-05,-0.0059043,0,2.81935,1.28955,-0.406093,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82851,-1.399,0,0.00197409,-0.0059043,-0.449544,0.1,-0.18342,-0.449543,0.1,-0.18342
-1E-05,-0.00885637,0,2.81929,1.31717,-0.637238,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82851,-1.399,0,0.0029611,-0.00885637,-0.449544,0.1,-0.18342,-0.449541,0.1,-0.18342
-2E-05,-0.0118084,0,2.81924,1.34476,-0.868407,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82851,-1.39901,0,0.00394809,-0.0118084,-0.449544,0.1,-0.18342,-0.449539,0.1,-0.18342
-4E-05,-0.0147602,0,2.81918,1.37233,-1.0996,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82852,-1.39903,0,0.00493504,-0.0147602,-0.449544,0.1,-0.18342,-0.449537,0.1,-0.18342
-5E-05,-0.017712,0,2.81913,1.39987,-1.33081,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82852,-1.39904,0,0.00592195,-0.017712,-0.449544,0.1,-0.18342,-0.449533,0.1,-0.18342
-7E-05,-0.0206635,0,2.81907,1.42739,-1.56204,0,0,0,0,1.82851,-1.39899,0,0,0,0,1.82853,-1.39906,0,0.00690879,-0.0206635,-0.449544,0.1,-0.18342,-0.44953,0.1,-0.18342
-9E-05,-0.0236155,-3.4E-05,2.81515,1.44089,-1.80017,0,0,0,6.02E-05,1.82857,-1.39899,0.000601561,0.000962498,0,0,1.82854,-1.39908,-3.34E-08,0.00789642,-0.0236155,-0.449555,0.100011,-0.183387,-0.449525,0.1,-0.183421
-0.00012,-0.0265667,-3.4E-05,2.81367,1.46484,-2.03305,0,0,0,6.02E-05,1.82857,-1.39899,0.00120312,0.00120312,0,0,1.82855,-1.39911,-3.76E-08,0.00888322,-0.0265667,-0.449555,0.100011,-0.183387,-0.44952,0.1,-0.183421
-0.00015,-0.0295176,-4E-05,2.78609,1.45857,-2.27581,0,0,0,0.00012,1.82857,-1.39899,0.0186484,0.00114297,0,0,1.82855,-1.39914,-8.35E-08,0.00986995,-0.0295176,-0.449555,0.100022,-0.183381,-0.449515,0.1,-0.183421
-0.00018,-0.0324682,-4E-05,2.76547,1.46058,-2.51584,0,0,0,0.000120312,1.82857,-1.39899,0.0318226,0.00114297,0,0,1.82856,-1.39917,-9.19E-08,0.0108566,-0.0324682,-0.449555,0.100022,-0.183381,-0.449508,0.1,-0.183421
-0.00021,-0.0354195,-7.3E-05,2.75092,1.39568,-2.79534,0,0,0,0.000180468,1.82863,-1.39899,0.0287546,0.0107679,0,0,1.82858,-1.3992,-1.5E-07,0.0118444,-0.0354195,-0.449566,0.100033,-0.183348,-0.449502,0.1,-0.183421
-0.00025,-0.0383695,-7.3E-05,2.74591,1.38546,-3.04683,0,0,0,0.000180468,1.82863,-1.39899,0.0262281,0.0150992,0,0,1.82859,-1.39924,-1.63E-07,0.0128309,-0.0383695,-0.449566,0.100033,-0.183348,-0.449494,0.1,-0.183421
-0.00029,-0.0413192,-7.3E-05,2.74674,1.41775,-3.27551,0,0,0,0.000180468,1.82863,-1.39899,0.0264085,0.0145578,0,0,1.8286,-1.39928,-1.75E-07,0.0138172,-0.0413192,-0.449566,0.100033,-0.183348,-0.449486,0.1,-0.183421
-0.00033,-0.0442685,-7.4E-05,2.75361,1.45367,-3.50385,0,0,0,0.000180468,1.82863,-1.39899,0.021957,0.0145578,0,0,1.82862,-1.39932,-1.88E-07,0.0148035,-0.0442685,-0.449566,0.100033,-0.183348,-0.449478,0.1,-0.183422
-0.00038,-0.0472173,-7.4E-05,2.76379,1.49638,-3.72924,0,0,0,0.000180468,1.82863,-1.39899,0.0158211,0.0141968,0,0,1.82863,-1.39937,-2E-07,0.0157896,-0.0472173,-0.449566,0.100033,-0.183348,-0.449469,0.1,-0.183422
-0.00043,-0.0501657,-7.4E-05,2.77376,1.55491,-3.93298,0,0,0,0.000180468,1.82863,-1.39899,0.0125125,0.0116703,0,0,1.82865,-1.39942,-2.13E-07,0.0167755,-0.0501657,-0.449566,0.100033,-0.183348,-0.449459,0.1,-0.183422
-0.00048,-0.0531135,-7.4E-05,2.78091,1.60588,-3.92876,0,0,0,0.000180468,1.82863,-1.39899,0.0103469,0.00968513,0,0,1.82866,-1.39947,-2.25E-07,0.0177613,-0.0531135,-0.449566,0.100033,-0.183348,-0.449449,0.1,-0.183422
-0.00047,-0.055396183,-6.5E-05,2.78635,1.65372,-3.92536,0,0,0,0.000180468,1.82863,-1.39905,0.00884295,0.0083617,-0.000661717,0,1.82868,-1.39952,-2.38E-07,0.0187446,-0.0560579,-0.44955,0.100033,-0.183357,-0.449438,0.1,-0.183422
-0.00053,-0.05780138,-6.6E-05,2.79043,1.69587,-3.9252,0,0,0,0.000180468,1.82863,-1.39905,0.00769998,0.00733905,-0.00120312,0,1.8287,-1.39958,-2.5E-07,0.0197298,-0.0590045,-0.44955,0.100033,-0.183357,-0.449426,0.1,-0.183423
-0.00053,-0.057977,-5.6E-05,2.79528,1.74776,-3.91897,0,0,0,0.000180468,1.82863,-1.39911,0.00679764,0.00655702,-0.0039703,0,1.82872,-1.39964,-2.63E-07,0.0207124,-0.0619473,-0.449535,0.100033,-0.183367,-0.449414,0.1,-0.183423
-0.00059,-0.0384239,-5.6E-05,2.81252,1.89625,-3.85819,0,0,0,0.000180468,1.82863,-1.39911,0.00613592,0.0058953,-0.0264687,0,1.82874,-1.3997,-2.75E-07,0.0216971,-0.0648926,-0.449535,0.100033,-0.183367,-0.449401,0.1,-0.183423
