q_err_KP,qdot_err_KP,Tor_HR,Tor_HP,Tor_KP,z_error,Fx_foot,Fy_foot,Fz_foot,IMU_Roll,IMU_Pitch,IMU_Yaw
0,0,2.81991,1.23691,0.0535895,0,0,0,0,0,0,0
0,-0.00287907,2.82001,1.26619,-0.171541,0,0,0,0,0.00850359,0.0328825,-0.887991
-1E-05,-0.0057581,2.82011,1.29545,-0.396699,1E-06,0,0,0,0.0084994,0.0328868,-0.887985
-1E-05,-0.00863709,2.82021,1.32468,-0.621881,1E-06,0,0,0,0.00849574,0.0328905,-0.887985
-2E-05,-0.011516,2.82031,1.3539,-0.847086,1E-06,0,0,0,0.00849147,0.0328947,-0.88799
-4E-05,-0.0143948,2.8204,1.38309,-1.07231,1E-06,0,0,0,0.00849147,0.0328947,-0.88799
-5E-05,-0.0172734,2.8205,1.41227,-1.29755,1E-06,0,0,0,0.00849147,0.0328947,-0.88799
-7E-05,-0.0201519,2.8206,1.44142,-1.52281,1E-06,0,0,0,0.00848267,0.0329028,-0.888002
-9E-05,-0.0230307,2.81798,1.45657,-1.75526,-2.6E-05,0,0,0,0.00847888,0.0329067,-0.888
-0.00012,-0.0259088,2.81681,1.48387,-1.98126,-3.2E-05,0,0,0,0.00847888,0.0329067,-0.888
-0.00014,-0.0287866,2.8156,1.51194,-2.2068,-3.1E-05,0,0,0,0.00847888,0.0329067,-0.888
-0.00017,-0.0316642,2.7833,1.50345,-2.44477,-3.7E-05,0,0,0,0.00847486,0.0329105,-0.887994
-0.00021,-0.0345422,2.74349,1.42228,-2.72177,-6.4E-05,0,0,0,0.00847093,0.0329148,-0.88799
-0.00024,-0.0374192,2.74303,1.41498,-2.96755,-6.4E-05,0,0,0,0.00846661,0.0329191,-0.887991
-0.00028,-0.0402958,2.7586,1.46559,-3.18466,-6.9E-05,0,0,0,0.0084628,0.0329233,-0.887995
-0.00032,-0.043172,2.75912,1.49532,-3.40974,-6.9E-05,0,0,0,0.0084628,0.0329233,-0.887995
-0.00037,-0.0460478,2.75907,1.52403,-3.63513,-6.9E-05,0,0,0,0.00845886,0.0329272,-0.887994
-0.00042,-0.0489231,2.76402,1.57175,-3.8511,-6.8E-05,0,0,0,0.00845507,0.0329309,-0.887993
-0.00047,-0.051798,2.77558,1.6293,-3.9266,-6.8E-05,0,0,0,0.00845107,0.0329344,-0.887989
-0.00046,-0.05352653,2.78424,1.68456,-3.92019,-5.8E-05,0,0,0,0.00845107,0.0329344,-0.887989
-0.00052,-0.05634008,2.78959,1.72737,-3.92052,-5.8E-05,0,0,0,0.00844749,0.032938,-0.887983
