q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
0,0,0,2.818174,1.222375,0.056858,0
-6.00E-06,-0.005692,0,2.817694,1.268585,-0.389702,0
-2.30E-05,-0.011384,0,2.81721,1.314691,-0.836374,0
-5.10E-05,-0.017075,-1.00E-06,2.816721,1.36069,-1.28314,0
-9.10E-05,-0.022765,-2.00E-06,2.816227,1.40658,-1.729982,0
-0.000142,-0.028455,-9.00E-06,2.813768,1.449844,-2.177762,0
-0.000172,-0.034145,-3.70E-05,2.810353,1.481438,-2.631932,0
-0.01018,-0.241484,-4.80E-05,2.803513,2.372042,-4.441691,0
-0.010642,-0.243598,-4.90E-05,2.805241,2.374533,-4.450451,0
-0.011115,-0.244257,-5.00E-05,2.808101,2.384694,-4.45484,0
-0.011598,-0.239971,-5.20E-05,2.814248,2.419417,-4.445259,0
-0.012092,-0.243435,-5.30E-05,2.815151,2.415372,-4.457973,0
-0.012537,-0.248134,-4.60E-05,2.815234,2.405597,-4.473619,0
-0.013051,-0.251393,-4.80E-05,2.816373,2.402543,-4.485971,0
-0.013516,-0.252277,-4.00E-05,2.818984,2.411416,-4.490968,0
-0.013992,-0.251344,-3.30E-05,2.822953,2.429892,-4.490601,0
-0.014478,-0.250218,-2.70E-05,2.826921,2.4486,-4.490111,0
-0.014974,-0.245829,-2.00E-05,2.834036,2.485093,-4.479721,0
-0.01548,-0.255383,-1.40E-05,2.830828,2.450493,-4.51005,0
-0.015936,-0.246619,2.00E-06,2.840082,2.508214,-4.486783,0
-0.016463,-0.252656,8.00E-06,2.839271,2.491052,-4.507319,0
-0.01694,-0.255112,2.30E-05,2.84087,2.492199,-4.516715,0
-0.017426,-0.259658,3.80E-05,2.841245,2.483684,-4.53193,0
-0.017983,-0.266373,4.30E-05,2.839943,2.46273,-4.554801,0
-0.01849,-0.267882,5.70E-05,2.84223,2.468504,-4.561891,0
-0.019007,-0.266066,7.20E-05,2.846708,2.490678,-4.559301,0
-0.019533,-0.268746,8.60E-05,2.848154,2.490224,-4.570008,0
-0.02007,-0.288916,9.90E-05,2.837925,2.402975,-4.630879,0
-0.020676,-0.285147,0.000104,2.843552,2.433249,-4.624415,0
-0.021172,-0.283307,0.000126,2.848201,2.456336,-4.62128,0
-0.021799,-0.294906,0.00013,2.84353,2.410083,-4.659038,0
-0.022374,-0.297746,0.000143,2.844827,2.408196,-4.670861,0
-0.022899,-0.296457,0.000165,2.848916,2.427387,-4.669997,0
-0.023494,-0.296976,0.000178,2.8519,2.437607,-4.674848,0
-0.024099,-0.301027,0.00019,2.85336,2.434258,-4.688152,0
-0.024652,-0.299926,0.000212,2.857262,2.451986,-4.688223,0
-0.025216,-0.301453,0.000233,2.859486,2.456894,-4.69595,0
-0.025788,-0.307233,0.000254,2.858867,2.440597,-4.715976,0
-0.026544,-0.29573,0.000304,2.871406,2.517113,-4.686557,0
-0.027261,-0.301328,0.000306,2.870695,2.499533,-4.708388,0
-0.027866,-0.311193,0.000326,2.867381,2.462774,-4.740565,0
-0.02848,-0.314482,0.000346,2.868342,2.458076,-4.754056,0
-0.029104,-0.318052,0.000366,2.869101,2.451825,-4.768484,0
-0.029737,-0.318293,0.000385,2.872049,2.46186,-4.773521,0
-0.030378,-0.32044,0.000405,2.873716,2.462315,-4.784139,0
-0.031029,-0.324613,0.000424,2.874024,2.4526,-4.80068,0
-0.031628,-0.331447,0.000452,2.872751,2.430904,-4.823985,0
-0.032297,-0.333533,0.000471,2.874368,2.431015,-4.834817,0
-0.032914,-0.325528,0.000499,2.882886,2.482277,-4.815931,0
-0.03354,-0.329833,0.000527,2.883018,2.471719,-4.832384,0
