KP_q_error,KP_q_dot_error,z_error,HR_Torque,HP_Torque,KP_Torque,Fx,Fy,Fz,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81877,1.22624,0.0532402,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83589,-1.42967,0,0,0,-0.442837,0.1,-0.184776,-0.442837,0.1,-0.184776
0,-0.00273425,0,2.81874,1.2515,-0.160954,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83589,-1.42967,0,0.000903201,-0.00273425,-0.442837,0.1,-0.184776,-0.442836,0.1,-0.184776
-1E-05,-0.00546847,0,2.81872,1.27673,-0.375175,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83589,-1.42968,0,0.00180639,-0.00546847,-0.442837,0.1,-0.184776,-0.442835,0.1,-0.184776
-1E-05,-0.00820264,0,2.81869,1.30195,-0.589421,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83589,-1.42968,0,0.00270957,-0.00820264,-0.442837,0.1,-0.184776,-0.442834,0.1,-0.184776
-2E-05,-0.0109367,0,2.81867,1.32714,-0.803691,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83589,-1.42969,0,0.00361271,-0.0109367,-0.442837,0.1,-0.184776,-0.442832,0.1,-0.184776
-3E-05,-0.0136707,0,2.81864,1.3523,-1.01798,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.8359,-1.4297,0,0.00451582,-0.0136707,-0.442837,0.1,-0.184776,-0.44283,0.1,-0.184776
-5E-05,-0.0164045,0,2.81861,1.37745,-1.23229,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.8359,-1.42972,0,0.00541889,-0.0164045,-0.442837,0.1,-0.184776,-0.442827,0.1,-0.184776
-7E-05,-0.0191382,0,2.81858,1.40257,-1.44662,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83591,-1.42974,0,0.0063219,-0.0191382,-0.442837,0.1,-0.184776,-0.442823,0.1,-0.184776
-9E-05,-0.0218717,0,2.81856,1.42767,-1.66096,0,0,0,0,1.83589,-1.42967,0,0,0,0,1.83592,-1.42976,0,0.00722486,-0.0218717,-0.442837,0.1,-0.184776,-0.442819,0.1,-0.184776
-0.00011,-0.0246056,-3.3E-05,2.81382,1.43758,-1.88264,0,0,0,6.02E-05,1.83595,-1.42967,0.00108281,0.00102265,0,0,1.83592,-1.42978,-1.77E-08,0.00812863,-0.0246056,-0.442848,0.100011,-0.184743,-0.442814,0.1,-0.184776
-0.00014,-0.0273388,-3.9E-05,2.79883,1.44341,-2.10377,0,0,0,0.000120312,1.83595,-1.42967,0.00998591,0.00120312,0,0,1.83593,-1.42981,-3.93E-08,0.00903154,-0.0273388,-0.442848,0.100022,-0.184737,-0.442809,0.1,-0.184776
-0.00017,-0.0300716,-3.9E-05,2.75344,1.41418,-2.33625,0,0,0,0.000120312,1.83595,-1.42967,0.0388007,0.00114297,0,0,1.83594,-1.42984,-4.33E-08,0.00993435,-0.0300716,-0.442848,0.100022,-0.184737,-0.442803,0.1,-0.184776
-0.0002,-0.0328041,-4.5E-05,2.76131,1.44864,-2.54744,0,0,0,0.000180468,1.83595,-1.42967,0.033507,0.00114297,0,0,1.83595,-1.42987,-7.08E-08,0.0108371,-0.0328041,-0.442848,0.100033,-0.184731,-0.442796,0.1,-0.184776
-0.00023,-0.0355363,-4.6E-05,2.76735,1.4807,-2.75958,0,0,0,0.000180468,1.83595,-1.42967,0.0295366,0.00120312,0,0,1.83596,-1.4299,-7.67E-08,0.0117397,-0.0355363,-0.442848,0.100033,-0.184731,-0.44279,0.1,-0.184777
-0.00021,-0.038206044,-3.7E-05,2.76749,1.50772,-2.9723,0,0,0,0.000180468,1.83595,-1.42973,0.0295968,0.00114297,-6.02E-05,0,1.83598,-1.42994,-8.26E-08,0.0126406,-0.0382662,-0.442832,0.100033,-0.18474,-0.442782,0.1,-0.184777
