q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81949,1.23329,0.053816,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82333,-1.4128,0,0,0,-0.444957,0.1,-0.187836,-0.444957,0.1,-0.187836
0,-0.00284313,0,2.81953,1.26109,-0.168659,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82333,-1.4128,0,0.000976453,-0.00284313,-0.444957,0.1,-0.187836,-0.444957,0.1,-0.187836
0,-0.00568622,0,2.81957,1.28887,-0.391161,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82333,-1.4128,0,0.0019529,-0.00568622,-0.444957,0.1,-0.187836,-0.444956,0.1,-0.187836
-1E-05,-0.00852926,0,2.81961,1.31664,-0.613689,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82333,-1.41281,0,0.00292932,-0.00852926,-0.444957,0.1,-0.187836,-0.444955,0.1,-0.187836
-2E-05,-0.0113722,0,2.81965,1.34438,-0.836239,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82334,-1.41282,0,0.00390572,-0.0113722,-0.444957,0.1,-0.187836,-0.444953,0.1,-0.187836
-3E-05,-0.0142151,0,2.81969,1.37209,-1.05881,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82334,-1.41283,0,0.00488207,-0.0142151,-0.444957,0.1,-0.187836,-0.44495,0.1,-0.187836
-5E-05,-0.0170578,0,2.81973,1.39979,-1.2814,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82335,-1.41285,0,0.00585838,-0.0170578,-0.444957,0.1,-0.187836,-0.444947,0.1,-0.187836
-7E-05,-0.0199003,0,2.81977,1.42746,-1.50401,0,0,0,0,1.82333,-1.4128,0,0,0,0,1.82335,-1.41287,0,0.00683463,-0.0199003,-0.444957,0.1,-0.187836,-0.444944,0.1,-0.187836
-9E-05,-0.0227426,-6E-06,2.81916,1.45446,-1.72685,0,0,0,6.02E-05,1.82333,-1.4128,6.02E-05,0,0,0,1.82336,-1.41289,2.32E-08,0.00781081,-0.0227426,-0.444957,0.100011,-0.18783,-0.444939,0.1,-0.187836
-0.00011,-0.0255854,-3.3E-05,2.81497,1.46775,-1.95646,0,0,0,6.02E-05,1.82339,-1.4128,0.00120312,0.000962498,0,0,1.82337,-1.41291,2.61E-08,0.00878782,-0.0255854,-0.444969,0.100011,-0.187803,-0.444935,0.1,-0.187836
-0.00014,-0.0284273,-3.9E-05,2.81116,1.48914,-2.18161,0,0,0,0.000120312,1.82339,-1.4128,0.00294765,0.00120312,0,0,1.82338,-1.41294,5.8E-08,0.00976393,-0.0284273,-0.444969,0.100023,-0.187797,-0.444929,0.1,-0.187836
-0.00017,-0.031269,-3.8E-05,2.76657,1.46473,-2.42165,0,0,0,0.000120312,1.82339,-1.4128,0.030439,0.00114297,0,0,1.82339,-1.41297,6.38E-08,0.0107399,-0.031269,-0.444969,0.100023,-0.187797,-0.444923,0.1,-0.187835
-0.0002,-0.0341111,-6.5E-05,2.74954,1.40122,-2.69117,0,0,0,0.000120312,1.82345,-1.4128,0.0300179,0.0102867,0,0,1.8234,-1.413,6.96E-08,0.0117171,-0.0341111,-0.44498,0.100023,-0.18777,-0.444917,0.1,-0.187835
-0.00024,-0.0369522,-6.5E-05,2.74341,1.35573,-2.95364,0,0,0,0.000120312,1.82345,-1.4128,0.0232203,0.0191296,0,0,1.82341,-1.41304,7.54E-08,0.012693,-0.0369522,-0.44498,0.100023,-0.18777,-0.44491,0.1,-0.187835
