q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0,0,0,2.81958,1.23543,0.0563311,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82678,-1.39554,0,0,0,-0.450128,0.1,-0.183662,-0.450128,0.1,-0.183662
0,-0.00297597,0,2.81953,1.2635,-0.176585,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82678,-1.39554,0,0.000999574,-0.00297597,-0.450128,0.1,-0.183662,-0.450128,0.1,-0.183662
0,-0.00595191,0,2.81948,1.29155,-0.409531,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82678,-1.39554,0,0.00199914,-0.00595191,-0.450128,0.1,-0.183662,-0.450127,0.1,-0.183662
-1E-05,-0.00892779,0,2.81943,1.31957,-0.642503,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82678,-1.39555,0,0.00299868,-0.00892779,-0.450128,0.1,-0.183662,-0.450126,0.1,-0.183662
-2E-05,-0.0119036,0,2.81937,1.34757,-0.875499,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82679,-1.39556,0,0.0039982,-0.0119036,-0.450128,0.1,-0.183662,-0.450123,0.1,-0.183662
-4E-05,-0.0148793,0,2.81932,1.37554,-1.10852,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.82679,-1.39558,0,0.00499767,-0.0148793,-0.450128,0.1,-0.183662,-0.450121,0.1,-0.183662
-5E-05,-0.0178548,0,2.81927,1.40349,-1.34156,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.8268,-1.39559,0,0.0059971,-0.0178548,-0.450128,0.1,-0.183662,-0.450118,0.1,-0.183662
-7E-05,-0.0208301,0,2.81922,1.43142,-1.57461,0,0,0,0,1.82678,-1.39554,0,0,0,0,1.8268,-1.39561,0,0.00699646,-0.0208301,-0.450128,0.1,-0.183662,-0.450114,0.1,-0.183662
-9E-05,-0.0238053,-6E-06,2.81704,1.45679,-1.80855,0,0,0,6.02E-05,1.82678,-1.39554,0.00102265,0,0,0,1.82681,-1.39563,-3.02E-08,0.00799577,-0.0238053,-0.450128,0.100011,-0.183656,-0.450109,0.1,-0.183662
-0.00012,-0.0267802,-7E-06,2.8167,1.48432,-2.04175,0,0,0,6.02E-05,1.82678,-1.39554,0.00120312,0,0,0,1.82682,-1.39566,-3.4E-08,0.00899499,-0.0267802,-0.450128,0.100011,-0.183656,-0.450104,0.1,-0.183663
-0.00015,-0.0297556,-4E-05,2.76816,1.44457,-2.29971,0,0,0,0.00012,1.82684,-1.39554,0.0309804,0.000661717,0,0,1.82683,-1.39569,-7.56E-08,0.00999519,-0.0297556,-0.450139,0.100022,-0.183623,-0.450099,0.1,-0.183663
-0.00018,-0.0327301,-4E-05,2.76343,1.4632,-2.53692,0,0,0,0.000120312,1.82684,-1.39554,0.0330257,0.00120312,0,0,1.82684,-1.39572,-8.31E-08,0.0109943,-0.0327301,-0.450139,0.100022,-0.183623,-0.450092,0.1,-0.183663
