q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-1.00E-06,-0.002906,0,2.818127,1.248516,-0.170323,0
-1.30E-05,-0.008719,0,2.81763,1.296082,-0.626293,0
-3.60E-05,-0.014531,-1.00E-06,2.817129,1.34354,-1.082366,0
-7.10E-05,-0.020343,-1.00E-06,2.816623,1.390889,-1.538525,0
-9.30E-05,-0.023248,-8.00E-06,2.814586,1.412228,-1.767437,0
-0.000145,-0.029058,-1.50E-05,2.776669,1.408293,-2.241589,0
-0.000246,-0.037773,-5.00E-05,2.770265,1.461304,-2.93454,0
-0.010547,-0.205481,0.00044,2.865723,2.747687,-4.295663,0
-0.011171,-0.205215,0.000456,2.86942,2.764075,-4.296329,0
-0.011559,-0.211053,0.000481,2.870096,2.75257,-4.313171,0
-0.011958,-0.213988,0.000506,2.871697,2.753486,-4.322553,0
-0.012428,-0.223604,0.000521,2.868725,2.720129,-4.352207,0
-0.012848,-0.220915,0.000546,2.874229,2.749477,-4.345477,0
-0.013218,-0.220357,0.000579,2.87805,2.767566,-4.344254,0
-0.013658,-0.226419,0.000603,2.877573,2.752733,-4.362835,0
-0.014109,-0.22669,0.000627,2.881025,2.766668,-4.365295,0
-0.01457,-0.22496,0.000651,2.885658,2.789826,-4.362162,0
-0.01498,-0.222411,0.000683,2.890977,2.81819,-4.355511,0
-0.015462,-0.223535,0.000706,2.893786,2.827309,-4.360826,0
-0.015893,-0.229314,0.000739,2.893546,2.814012,-4.378584,0
-0.016334,-0.23652,0.000771,2.892241,2.793216,-4.400253,0
-0.016785,-0.242805,0.000802,2.891591,2.776919,-4.419737,0
-0.017306,-0.244822,0.000824,2.893739,2.780945,-4.428161,0
-0.017777,-0.239582,0.000856,2.900799,2.821734,-4.414954,0
-0.018258,-0.244129,0.000887,2.901375,2.81415,-4.429582,0
-0.018748,-0.250222,0.000918,2.900787,2.798144,-4.449069,0
-0.019188,-0.245145,0.000958,2.90765,2.838033,-4.435737,0
-0.019698,-0.246026,0.000988,2.910448,2.847336,-4.440593,0
-0.020158,-0.250234,0.001027,2.912431,2.847368,-4.451127,0
